"Work","form","medieval toponym","real location","feature type","lat","long","occurrences",
"Advision","p","Poissy, abbaye de","Abbaye de Poissy, France","landmark",48.9294,2.0456,1,
"Advision","p","Athenes ","Athens, Greece","settlement",37.97945,23.71622,5,
"Advision","p","Babylone","Babylon, Iraq","ancient settlement",32.54083," 44.42417",1,
"Advision","p","Beauvais","Beauvais, France","settlement",49.43333,2.08333,1,
"Advision","p","Bologne la Grasse","Bologna, Italy","settlement",44.49381,11.33875,2,
"Advision","p","Cartaige","Carthage, Tunisia","ancient settlement",36.86667,10.33333,1,
"Advision","p","Engleterre","England","country",52.16045," -0.70318",3,
"Advision","p","Euphrate","Euphrates","river",30.57889,47.76572,1,
"Advision","p","Florence","Florence, Italy","settlement",43.77925,11.24626,1,
"Advision","p","Forlì","Forlì, Emiglia, Italy","settlement",44.22054,12.05245,,
"Advision","p","France","France","country",46," 2",,
"Advision","p","Gaule","Gaul","ancient region",45.75927,4.81989,,
"Advision","p","Alemaigne","Germany","country",51.5," 10.5",,
"Advision","p","Bretagne","Great Britain","country",54.75844,-2.69531," ",
"Advision","p","Grece","Greece","country",39,22,4,
"Advision","p","Hongrie","Hungary","country",47,20,,
"Advision","p","Alpes ytaliennes","Italian Alps","mountain",44.133611,10.214444,,
"Advision","p","Italie","Italy","country",42.83333," 12.83333",4,
"Advision","p","Jerusalem","Jerusalem","settlement",31.76904," 35.21633",,
"Advision","p","Judee","Judea","ancient region",31.58333,35,,
"Advision","p","Terre Latine","Latium ","ancient region",42.07762,12.77878,1,
"Advision","p","Lindos","Lindos, Greece","ancient settlement",36.083333,28.083333,1,
"Advision","p","Lombardie","Lombardy, Italy","region",45.66667,9.5,,
"Advision","p","Louvre","Louvre","landmark",48.86102,2.33587,,
"Advision","p","Medie","Medes, Ectabana","ancient region",34.806389,48.516111,,
"Advision","p","Sennaar","Mesopotamia","ancient region",35.1425,40.430833,,
"Advision","p","Metaponte","Metaponto, Basicilate, Italy","ancient settlement",40.374444,16.81,,
"Advision","p","Milan","Milan, Italy","settlement",45.46427,9.18951,,
"Advision","p","Milet ","Miletus","ancient settlement",37.530278,27.278333,,
"Advision","p","Ninive","Ninive, Assyria","ancient settlement",36.36762,43.15838,,
"Advision","p","Babylone","Old Cairo, Egypt","settlement",30.00737,31.23927,4,
"Advision","p","Babylone","Old Cairo, Egypt","settlement",30.00737,31.23927,,
"Advision","p","Orient","Orient","region ",,,,
"Advision","p","Orliens","Orleans, France","settlement",47.90289," 1.90389",,
"Advision","p","Paris","Paris, France","settlement",48.85341," 2.3488",6,
"Advision","p","Palais de justice","Paris, France","landmark",48.85573,2.34508,,
"Advision","p","Persia","Persia","ancient region ",29,53,,
"Advision","p","Frige","Phrygia","ancient region",38.42024,30.39093,,
"Advision","p","Picardie","Picardy, France","region",50,3.5,,
"Advision","p","Priene","Priene, Ionia","ancient settlement",37.659722,27.297778,,
"Advision","p","Rome","Rome, Italy","settlement",41.89193," 12.51133",,
"Advision","p","Salisbury","Salisbury, England","settlement",51.06931,-1.79569,,
"Advision","p","Sichem","Sichem","ancient region ",32.2225,35.2875,,
"Advision","p","Apollonia","Sozopol, Bulgaria","ancient settlement",42.416667,27.7,1,
"Advision","p","Espagne","Spain","country",40," -4",,
"Advision","p","Styx","Styx","river",,,,
"Advision","p","Thebes","Thebes, Greece","ancient settlement",38.325,23.31889,,
"Advision","p","Troie","Troy","ancient settlement",39.95732,26.23909,,
"Advision","p","Troie","Troy","ancient settlement",39.95732,26.23909,,
"Advision","p","Venise","Venice, Italy","settlement",45.43713,12.33265,,
"CentB","v","Gascongne","Gascony, France","region",43.5,0,,
"CentB","v","Romme","Rome, Italy","settlement",41.89193," 12.51133",,
"CharlesV","p","Poissi","Abbaye de Poissy, France","landmark",48.9294,2.0456,,
"CharlesV","p","Saint Denis","Abbaye de Saint Denis, France","landmark",48.935556,2.359722,,
"CharlesV","p","Saint Eloi","Abbaye de Saint Eloi de Noyon, France","landmark",50.34944,2.69361,,
"CharlesV","p","Saint-Martin (abbaie)","Abbaye de Saint Martin, Aisne ","landmark",49.990781,3.260719,,
"CharlesV","p","Abeville","Abbeville, France","settlement",50.1," 1.83333",,
"CharlesV","p","Aguillon","Aiguillon, France","settlement",44.29944,0.34083,,
"CharlesV","p","Albano","Albano, Italy","region",41.72513,12.63402,,
"CharlesV","p","Alancon","Alencon, France","settlement",48.43333,0.08333,,
"CharlesV","p","Alexandrie","Alexandria, Egypt","settlement",31.21564," 29.95527",,
"CharlesV","p","Alier","Allier","river",46.959444,3.078889,1,
"CharlesV","p","Alpes","Alps","mountain",46.41667,10,,
"CharlesV","p","Stancelle","Altavilla Irpina, Italy","settlement",41.00619,14.78093,,
"CharlesV","p","Amiens","Amiens, France","settlement",49.9,2.3,,
"CharlesV","p","Anagni","Anagni, Italy","settlement",41.74472,13.15269,,
"CharlesV","p","Université Angiers","Angers University, France","landmark",47.48,-0.601389,,
"CharlesV","p","Angiers","Angers, France","settlement",47.46667,-0.55,,
"CharlesV","p","Angolesme","Angouleme, France","settlement",45.65,0.15,,
"CharlesV","p","Angou","Anjou, France","region",47.466667,-0.55,,
"CharlesV","p","Puille","Apulia, Italy","region",41.00164," 16.73378",,
"CharlesV","p","Aragon","Aragon, Spain","region",41,-1,,
"CharlesV","p","Ardre","Ardres, France","settlement",50.85786,1.98168,,
"CharlesV","p","Arle","Arles, France","settlement",42.45654,2.63457,,
"CharlesV","p","Armaignac","Armagnac, France","region",43.75,0.16667,,
"CharlesV","p","Artevelle","Artevelde",,,,,
